id,created_at,resolved_at,hold_hours,token,direction,trade_type,kronos,conviction,archetype,edge_source,leverage,entry_price,stop_loss,tp1_price,tp2_price,tp3_price,exit_price,outcome,pnl_pct,planned_risk_pct,realized_R
938,2026-04-24T03:16:13,2026-04-26T05:10:13,49.9,XRP,SHORT,,false,35,,,2x,1.4358,1.457,1.4,,,1.42214985,EXPIRED_WIN,0.9507,1.4765,0.6439
939,2026-04-24T03:16:38,2026-04-26T05:10:13,49.89,DOT,SHORT,,false,28,,,2x,1.2414,1.26,1.21,,,1.24925061,EXPIRED_LOSS,-0.6324,1.4983,-0.4221
940,2026-04-24T03:17:03,2026-04-26T05:10:13,49.89,WIF,SHORT,,false,45,,,2x,0.18014,0.1828,0.1756,,,0.17899503,EXPIRED_WIN,0.6356,1.4766,0.4304
941,2026-04-24T03:18:03,2026-04-26T05:10:13,49.87,UNI,SHORT,,false,50,,,2x,3.2405,3.289,3.159,,,3.26735078,EXPIRED_LOSS,-0.8286,1.4967,-0.5536
942,2026-04-24T10:34:29,2026-04-26T05:10:13,42.6,HBAR,LONG,,false,35,,,2x,0.090508,0.0892,0.0928,,,0.09182697,EXPIRED_WIN,1.4573,1.4452,1.0084
943,2026-04-24T10:35:09,2026-04-26T05:10:13,42.58,DOGE,LONG,,false,30,,,2x,0.097417,0.096,0.0999,,,0.09818202,EXPIRED_WIN,0.7853,1.4546,0.5399
944,2026-04-24T10:39:33,2026-04-26T05:10:13,42.51,ARB,SHORT,,false,43,,,2x,0.12876,0.1334,0.121,,,0.13043002,EXPIRED_LOSS,-1.297,3.6036,-0.3599
945,2026-04-24T10:39:34,2026-04-26T05:10:13,42.51,OP,SHORT,,false,33,,,2x,0.12198,0.1238,0.1189,,,0.1238,SL_HIT,-1.492,1.492,-1
946,2026-04-24T10:39:53,2026-04-26T05:10:13,42.51,HBAR,SHORT,,false,33,,,2x,0.090589,0.0919,0.0883,,,0.09182699,EXPIRED_LOSS,-1.3666,1.4472,-0.9443
948,2026-04-24T11:20:46,2026-04-26T05:10:13,41.82,WIF,SHORT,,false,33,,,2x,0.18112,0.1838,0.1766,,,0.17899492,EXPIRED_WIN,1.1733,1.4797,0.7929
949,2026-04-24T11:22:16,2026-04-26T05:10:13,41.8,DOGE,SHORT,,false,28,,,2x,0.098147,0.0996,0.0957,,,0.09818204,EXPIRED_LOSS,-0.0357,1.4804,-0.0241
951,2026-04-24T11:42:31,2026-04-26T05:10:13,41.46,RENDER,LONG,,false,49,,,2x,1.8174,1.786,1.87,,,1.80955065,EXPIRED_LOSS,-0.4319,1.7277,-0.25
952,2026-04-24T12:12:51,2026-04-26T05:10:13,40.96,JUP,LONG,,false,44,,,3x,0.17533,0.1562,0.2073,,,0.17946007,EXPIRED_WIN,2.3556,10.9109,0.2159
953,2026-04-24T13:11:51,2026-04-26T05:10:13,39.97,DOGE,LONG,,false,33,,,2x,0.098344,0.0969,0.1008,,,0.09818203,EXPIRED_LOSS,-0.1647,1.4683,-0.1122
954,2026-04-24T13:11:56,2026-04-26T05:10:13,39.97,HBAR,LONG,,false,56,,,2x,0.091329,0.09,0.0936,,,0.09182702,EXPIRED_WIN,0.5453,1.4552,0.3747
956,2026-04-24T13:21:06,2026-04-26T05:10:13,39.82,WIF,SHORT,,false,36,,,2x,0.18182,0.1845,0.1773,,,0.17899506,EXPIRED_WIN,1.5537,1.474,1.0541
957,2026-04-24T13:40:59,2026-04-26T05:10:13,39.49,TIA,SHORT,,false,57,,,2x,0.3534,0.3626,0.338,,,0.35462983,EXPIRED_LOSS,-0.348,2.6033,-0.1337
958,2026-04-24T14:19:17,2026-04-26T05:10:13,38.85,JUP,LONG,,false,54,,,3x,0.17335,0.1581,0.1988,,,0.17946007,EXPIRED_WIN,3.5247,8.7972,0.4007
959,2026-04-24T14:23:17,2026-04-26T05:10:13,38.78,ONDO,SHORT,,false,52,,,2x,0.26217,0.2671,0.2539,,,0.26074012,EXPIRED_WIN,0.5454,1.8805,0.29
960,2026-04-26T05:12:21,2026-04-27T21:55:45,40.72,DOGE,LONG,,false,30,,,2x,0.098327,0.0969,0.1008,,,0.09797804,EXPIRED_LOSS,-0.3549,1.4513,-0.2445
961,2026-04-26T05:12:22,2026-04-27T21:55:45,40.72,HBAR,LONG,,false,28,,,2x,0.091931,0.0906,0.0942,,,0.0906,SL_HIT,-1.4478,1.4478,-1
962,2026-04-26T05:12:25,2026-04-27T21:55:45,40.72,XRP,LONG,,false,30,,,2x,1.4242,1.403,1.46,,,1.403,SL_HIT,-1.4886,1.4886,-1
963,2026-04-26T05:15:51,2026-04-27T21:55:45,40.66,JUP,LONG,,false,49,,,2x,0.18014,0.1691,0.1986,,,0.19413508,EXPIRED_WIN,7.769,6.1286,1.2677
964,2026-04-26T05:16:10,2026-04-27T21:55:45,40.66,WIF,SHORT,,false,43,,,2x,0.17935,0.182,0.1749,,,0.17574507,EXPIRED_WIN,2.01,1.4776,1.3603
965,2026-04-26T05:28:49,2026-04-27T21:55:45,40.45,ADA,SHORT,,false,33,,,2x,0.25098,0.2547,0.2447,,,0.24510004,EXPIRED_WIN,2.3428,1.4822,1.5806
976,2026-04-28T01:34:28,2026-04-28T01:35:27,0.02,ONDO,LONG,,false,51,,,2x,0.273,0.2668,0.2834,,,0.2668,SL_HIT,-2.2711,2.2711,-1
973,2026-04-28T01:07:38,2026-04-28T02:02:52,0.92,JUP,LONG,,false,35,,,2x,0.19509,0.1922,0.2,,,0.1922,SL_HIT,-1.4814,1.4814,-1
969,2026-04-27T22:01:47,2026-04-28T17:11:32,19.16,ARB,LONG,,false,35,,,2x,0.12516,0.1233,0.1283,,,0.1233,SL_HIT,-1.4861,1.4861,-1
984,2026-04-28T17:12:35,2026-04-28T17:13:32,0.02,ONDO,LONG,,false,61,,,2x,0.2782,0.2662,0.2982,,,0.2662,SL_HIT,-4.3134,4.3134,-1
966,2026-04-27T21:57:51,2026-04-28T21:58:22,24.01,WIF,SHORT,,false,34,,,2x,0.17554,0.1816,0.1654,,,0.17859001,EXPIRED_LOSS,-1.7375,3.4522,-0.5033
967,2026-04-27T21:57:53,2026-04-28T21:58:22,24.01,HBAR,LONG,,false,28,,,2x,0.089194,0.0879,0.0914,,,0.08894399,EXPIRED_LOSS,-0.2803,1.4508,-0.1932
1002,2026-04-28T21:57:36,2026-04-28T21:58:22,0.01,ONDO,LONG,,false,56,,,3x,0.2783,0.2647,0.301,,,0.2647,SL_HIT,-4.8868,4.8868,-1
968,2026-04-27T22:01:22,2026-04-28T22:02:22,24.02,ONDO,SHORT,,false,34,,,2x,0.2613,0.268,0.2501,,,0.26340007,EXPIRED_LOSS,-0.8037,2.5641,-0.3134
