id,source,token,direction,trade_type,entry_price,tp1_price,tp2_price,tp3_price,stop_loss,leverage,conviction,edge_score,kronos,kill_clock_hours,kill_clock_expires,outcome,pnl_pct,resolved_at,archetype,classification_source,scope,created_at
756,trade_ideas,BTC,LONG,DAY TRADE,76738.00000000,78350.00000000,79950.00000000,81500.00000000,75600.00000000,3x,66,66%,f,4,2026-04-21 14:58:30.777,EXPIRED_LOSS,-1.3246,2026-04-21 14:59:10.703,,,global,2026-04-21 10:58:30.778078
755,trade_ideas,AAVE,LONG,DAY TRADE,93.20000000,97.20000000,101.00000000,104.50000000,89.60000000,3x,68,68%,f,4,2026-04-21 14:58:30.766,EXPIRED_LOSS,-1.9979,2026-04-21 14:59:10.703,,,global,2026-04-21 10:58:30.767101
754,trade_ideas,JUP,LONG,DAY TRADE,0.18590000,0.19520000,0.20450000,0.21400000,0.17800000,1x,76,76%,t,4,2026-04-21 14:58:30.763,SL_HIT,-4.2496,2026-04-21 10:59:00.903,,,global,2026-04-21 10:58:30.764296
753,trade_ideas,PENDLE,LONG,DAY TRADE,1.39800000,1.46800000,1.53800000,1.61000000,1.34000000,3x,78,78%,t,4,2026-04-21 14:58:30.759,EXPIRED_LOSS,-3.8984,2026-04-21 14:59:10.703,,,global,2026-04-21 10:58:30.761306
752,signals_tab,NEAR,SHORT,,1.39280000,1.35800000,,,1.41400000,2x,42,,f,24,2026-04-22 10:57:01.752,TP1_HIT,2.4986,2026-04-21 17:18:45.209,,,global,2026-04-21 10:57:01.753378
751,signals_tab,DOT,LONG,,1.28710000,1.31900000,,,1.26800000,2x,36,,f,24,2026-04-22 10:57:01.748,SL_HIT,-1.4840,2026-04-21 16:59:10.96,,,global,2026-04-21 10:57:01.749749
750,signals_tab,WIF,SHORT,,0.20153000,0.19650000,,,0.20460000,2x,40,,f,24,2026-04-22 10:57:01.728,TP1_HIT,2.4959,2026-04-21 17:16:10.98,,,global,2026-04-21 10:57:01.738737
749,signals_tab,SOL,SHORT,,86.19600000,84.04100000,,,87.48900000,2x,40,,f,24,2026-04-22 10:57:01.725,SL_HIT,-1.5001,2026-04-22 11:43:38.564,,,global,2026-04-21 10:57:01.727278
748,signals_tab,ETH,LONG,,2333.20000000,2391.53000000,,,2298.20000000,2x,48,,f,24,2026-04-22 10:57:01.721,SL_HIT,-1.5001,2026-04-21 12:44:35.249,,,global,2026-04-21 10:57:01.724064
747,signals_tab,DOT,LONG,,1.28350000,1.31600000,,,1.26400000,2x,45,,f,24,2026-04-22 10:44:32.136,SL_HIT,-1.5193,2026-04-21 17:16:10.98,,,global,2026-04-21 10:44:32.139153
746,signals_tab,BNB,LONG,,639.05000000,655.03000000,,,629.46000000,2x,42,,f,24,2026-04-22 10:44:32.123,SL_HIT,-1.5007,2026-04-21 17:16:10.98,,,global,2026-04-21 10:44:32.124658
